timestamp,model,prompt_version,category,test_case,input_text,expected_output,actual_output,success,latency_ms,error
2026-01-30T14:25:26.216930,claude-opus-4-20250514,v1_detailed,conforming,Simple day,Monday,Monday,Monday,True,1801.5239238739014,
2026-01-30T14:25:28.411878,claude-opus-4-20250514,v1_detailed,conforming,Day with time,M after 5pm,Monday after 5:00 pm,Monday after 5:00 pm,True,1679.2519092559814,
2026-01-30T14:25:30.609861,claude-opus-4-20250514,v1_detailed,conforming,Before time,W before 10am,Wednesday before 10:00 am,Wednesday before 10:00 am,True,1682.5363636016846,
2026-01-30T14:25:33.085487,claude-opus-4-20250514,v1_detailed,conforming,Time range,F 11:30am-1pm,Friday 11:30 am-1:00 pm,Friday 11:30 am - 1:00 pm,False,1960.1695537567139,
2026-01-30T14:25:35.170296,claude-opus-4-20250514,v1_detailed,conforming,Date,Jan 15 2026,Jan 15 2026,Jan 15 2026,True,1569.2713260650635,
2026-01-30T14:25:37.882957,claude-opus-4-20250514,v1_detailed,conforming,Date range,Mar 15 2026-Mar 20 2026,Mar 15 2026-Mar 20 2026,Mar 15 2026 - Mar 20 2026,False,2197.1871852874756,
2026-01-30T14:25:40.135090,claude-opus-4-20250514,v1_detailed,conforming,Date with time,Feb 2 2026 after 2pm,Feb 2 2026 after 2:00 pm,Feb 2 2026 after 2:00 pm,True,1736.644983291626,
2026-01-30T14:25:42.348564,claude-opus-4-20250514,v1_detailed,natural,Casual unavailability,I can't make it Mondays,Monday,Monday,True,1697.9620456695557,
2026-01-30T14:25:44.851500,claude-opus-4-20250514,v1_detailed,natural,Missing PM,unavailable tuesdays after 5,Tuesday after 5:00 pm,Tuesday after 5:00 pm,True,1987.6747131347656,
2026-01-30T14:25:47.276891,claude-opus-4-20250514,v1_detailed,natural,Casual + ambiguous time,Can't do Wed before 6,Wednesday before 6:00 pm,Wednesday before 6:00 pm,True,1910.2606773376465,
2026-01-30T14:25:49.886289,claude-opus-4-20250514,v1_detailed,natural,Casual date range,out of town march 15-20,Mar 15 2026-Mar 20 2026,Mar 15 2024 - Mar 20 2024,False,2094.496011734009,
2026-01-30T14:25:52.212944,claude-opus-4-20250514,v1_detailed,natural,Context with date/time,I have a doctor appointment Feb 2 after 2,Feb 2 2026 after 2:00 pm,Feb 2 26 after 2:00 pm,False,1811.4829063415527,
2026-01-30T14:25:54.437529,claude-opus-4-20250514,v1_detailed,natural,Multiple days,mondays and fridays I work late,"Monday, Friday","Monday, Friday",True,1709.404706954956,
2026-01-30T14:25:56.705409,claude-opus-4-20250514,v1_detailed,natural,Abbreviated multiple,"m, f before 5","Monday, Friday before 5:00 pm","Monday, Friday before 5:00 pm",True,1752.7005672454834,
2026-01-30T14:25:59.267028,claude-opus-4-20250514,v1_detailed,edge,Empty input,,NO IDEA,Please provide the input text that you would like me to convert to the LARK grammar format.,False,2047.0316410064697,
2026-01-30T14:26:01.176386,claude-opus-4-20250514,v1_detailed,edge,Gibberish,asdfghjkl,NO IDEA,NO IDEA,True,1393.8319683074951,
2026-01-30T14:26:03.582004,claude-opus-4-20250514,v1_detailed,edge,Uncertain language,maybe tuesday?,Tuesday,Tuesday,True,1890.1610374450684,
2026-01-30T14:26:06.405441,claude-opus-4-20250514,v1_detailed,edge,Multiple complex,"M after 5, W before 10","Monday after 5:00 pm, Wednesday before 10:00 am","Monday after 5:00 pm, Wednesday before 10:00 am",True,2307.9514503479004,
2026-01-30T14:26:08.590836,claude-opus-4-20250514,v2_simple,conforming,Simple day,Monday,Monday,Monday,True,1669.8222160339355,
