timestamp,model,prompt_version,category,test_case,input_text,expected_output,actual_output,success,latency_ms,error,parses_correctly
2026-01-29T17:29:50.979011,claude-opus-4-20250514,v1_detailed,conforming,Simple day,Monday,Monday,Monday,True,1687.8540515899658,,True
2026-01-29T17:29:53.322523,claude-opus-4-20250514,v1_detailed,conforming,Day with time,M after 5pm,Monday after 5:00 pm,Monday after 5:00 pm,True,1827.706813812256,,True
2026-01-29T17:29:55.504404,claude-opus-4-20250514,v1_detailed,conforming,Before time,W before 10am,Wednesday before 10:00 am,Wednesday before 10:00 am,True,1666.5565967559814,,True
2026-01-29T17:29:57.708798,claude-opus-4-20250514,v1_detailed,conforming,Time range,F 11:30am-1pm,Friday 11:30 am-1:00 pm,Friday 11:30 am - 1:00 pm,False,1689.1112327575684,,True
2026-01-29T17:29:59.935869,claude-opus-4-20250514,v1_detailed,conforming,Date,Jan 15 2026,Jan 15 2026,Jan 15 2026,True,1711.7745876312256,,True
2026-01-29T17:30:02.308854,claude-opus-4-20250514,v1_detailed,conforming,Date range,Mar 15 2026-Mar 20 2026,Mar 15 2026-Mar 20 2026,Mar 15 2026 - Mar 20 2026,False,1857.619285583496,,True
2026-01-29T17:30:05.020448,claude-opus-4-20250514,v1_detailed,conforming,Date with time,Feb 2 2026 after 2pm,Feb 2 2026 after 2:00 pm,Feb 2 2026 after 2:00 pm,True,2196.2873935699463,,True
2026-01-29T17:30:07.439216,claude-opus-4-20250514,v1_detailed,natural,Casual unavailability,I can't make it Mondays,Monday,Monday,True,1903.5186767578125,,True
2026-01-29T17:30:09.614026,claude-opus-4-20250514,v1_detailed,natural,Missing PM,unavailable tuesdays after 5,Tuesday after 5:00 pm,Tuesday after 5:00 pm,True,1659.602165222168,,True
2026-01-29T17:30:12.075112,claude-opus-4-20250514,v1_detailed,natural,Casual + ambiguous time,Can't do Wed before 6,Wednesday before 6:00 pm,Wednesday before 6:00 pm,True,1946.044683456421,,True
2026-01-29T17:30:14.378820,claude-opus-4-20250514,v1_detailed,natural,Casual date range,out of town march 15-20,Mar 15 2026-Mar 20 2026,Mar 15 26 - Mar 20 26,False,1788.7187004089355,,True
2026-01-29T17:30:17.108622,claude-opus-4-20250514,v1_detailed,natural,Context with date/time,I have a doctor appointment Feb 2 after 2,Feb 2 2026 after 2:00 pm,Feb 2 26 after 2:00 pm,False,2214.7958278656006,,True
2026-01-29T17:30:19.470002,claude-opus-4-20250514,v1_detailed,natural,Multiple days,mondays and fridays I work late,"Monday, Friday","Monday after 5:00 pm, Friday after 5:00 pm",False,1846.466064453125,,True
2026-01-29T17:30:21.643342,claude-opus-4-20250514,v1_detailed,natural,Abbreviated multiple,"m, f before 5","Monday, Friday before 5:00 pm","Monday, Friday before 5:00 pm",True,1658.341884613037,,True
2026-01-29T17:30:24.789937,claude-opus-4-20250514,v1_detailed,edge,Empty input,,NO IDEA,"I notice that the input is empty. Since there is no availability information to parse, I cannot generate a valid grammar string.

NO IDEA",False,2631.228446960449,,False
2026-01-29T17:30:27.028057,claude-opus-4-20250514,v1_detailed,edge,Gibberish,asdfghjkl,NO IDEA,NO IDEA,True,1722.8307723999023,,False
2026-01-29T17:30:29.407822,claude-opus-4-20250514,v1_detailed,edge,Uncertain language,maybe tuesday?,Tuesday,Tuesday,True,1864.485502243042,,True
2026-01-29T17:30:31.635678,claude-opus-4-20250514,v1_detailed,edge,Multiple complex,"M after 5, W before 10","Monday after 5:00 pm, Wednesday before 10:00 am","Monday after 5:00 pm, Wednesday before 10:00 am",True,1712.56422996521,,True
2026-01-29T17:30:34.005707,claude-opus-4-20250514,v2_simple,conforming,Simple day,Monday,Monday,Monday,True,1854.796886444092,,True
2026-01-29T17:30:36.208002,claude-opus-4-20250514,v2_simple,conforming,Day with time,M after 5pm,Monday after 5:00 pm,Monday after 5:00 pm,True,1686.997890472412,,True
2026-01-29T17:30:38.484977,claude-opus-4-20250514,v2_simple,conforming,Before time,W before 10am,Wednesday before 10:00 am,Wednesday before 10:00 am,True,1761.674165725708,,True
2026-01-29T17:30:40.787868,claude-opus-4-20250514,v2_simple,conforming,Time range,F 11:30am-1pm,Friday 11:30 am-1:00 pm,Friday 11:30 am-1:00 pm,True,1787.5597476959229,,True
2026-01-29T17:30:42.754929,claude-opus-4-20250514,v2_simple,conforming,Date,Jan 15 2026,Jan 15 2026,Jan 15 2026,True,1451.7967700958252,,True
2026-01-29T17:30:45.065358,claude-opus-4-20250514,v2_simple,conforming,Date range,Mar 15 2026-Mar 20 2026,Mar 15 2026-Mar 20 2026,Mar 15 2026-Mar 20 2026,True,1795.2594757080078,,True
2026-01-29T17:30:47.723498,claude-opus-4-20250514,v2_simple,conforming,Date with time,Feb 2 2026 after 2pm,Feb 2 2026 after 2:00 pm,Feb 2 2026 after 2:00 pm,True,2143.084764480591,,True
2026-01-29T17:30:49.933187,claude-opus-4-20250514,v2_simple,natural,Casual unavailability,I can't make it Mondays,Monday,Monday,True,1694.6780681610107,,True
2026-01-29T17:30:52.573163,claude-opus-4-20250514,v2_simple,natural,Missing PM,unavailable tuesdays after 5,Tuesday after 5:00 pm,Tuesday after 5:00 pm,True,2124.99475479126,,True
2026-01-29T17:30:54.882587,claude-opus-4-20250514,v2_simple,natural,Casual + ambiguous time,Can't do Wed before 6,Wednesday before 6:00 pm,Wednesday before 6:00 pm,True,1794.43621635437,,True
2026-01-29T17:30:56.979419,claude-opus-4-20250514,v2_simple,natural,Casual date range,out of town march 15-20,Mar 15 2026-Mar 20 2026,Mar 15 2026-Mar 20 2026,True,1581.7463397979736,,True
2026-01-29T17:30:59.419444,claude-opus-4-20250514,v2_simple,natural,Context with date/time,I have a doctor appointment Feb 2 after 2,Feb 2 2026 after 2:00 pm,Feb 2 2026 after 2:00 pm,True,1924.9601364135744,,True
2026-01-29T17:31:01.501810,claude-opus-4-20250514,v2_simple,natural,Multiple days,mondays and fridays I work late,"Monday, Friday","Monday, Friday",True,1567.277193069458,,True
2026-01-29T17:31:03.806213,claude-opus-4-20250514,v2_simple,natural,Abbreviated multiple,"m, f before 5","Monday, Friday before 5:00 pm","Monday, Friday before 5:00 pm",True,1789.280652999878,,True
2026-01-29T17:31:07.204025,claude-opus-4-20250514,v2_simple,edge,Empty input,,NO IDEA,I need the dancer unavailability text to convert. Please provide the text you'd like me to convert to the grammar format.,False,2882.9989433288574,,False
2026-01-29T17:31:09.312414,claude-opus-4-20250514,v2_simple,edge,Gibberish,asdfghjkl,NO IDEA,NO IDEA,True,1593.2338237762451,,False
2026-01-29T17:31:11.549023,claude-opus-4-20250514,v2_simple,edge,Uncertain language,maybe tuesday?,Tuesday,NO IDEA,True,1721.5723991394043,,False
2026-01-29T17:31:14.048136,claude-opus-4-20250514,v2_simple,edge,Multiple complex,"M after 5, W before 10","Monday after 5:00 pm, Wednesday before 10:00 am","Monday after 5:00 pm, Wednesday before 10:00 am",True,1984.1406345367432,,True
2026-01-29T17:31:16.259213,claude-sonnet-4-20250514,v1_detailed,conforming,Simple day,Monday,Monday,Monday,True,1696.031093597412,,True
2026-01-29T17:31:18.597624,claude-sonnet-4-20250514,v1_detailed,conforming,Day with time,M after 5pm,Monday after 5:00 pm,Monday after 5:00 pm,True,1823.233127593994,,True
2026-01-29T17:31:20.446750,claude-sonnet-4-20250514,v1_detailed,conforming,Before time,W before 10am,Wednesday before 10:00 am,Wednesday before 10:00 am,True,1335.5021476745603,,True
2026-01-29T17:31:22.879429,claude-sonnet-4-20250514,v1_detailed,conforming,Time range,F 11:30am-1pm,Friday 11:30 am-1:00 pm,Friday 11:30 am - 1:00 pm,False,1917.365789413452,,True
2026-01-29T17:31:25.120080,claude-sonnet-4-20250514,v1_detailed,conforming,Date,Jan 15 2026,Jan 15 2026,Jan 15 2026,True,1725.410223007202,,True
2026-01-29T17:31:27.139436,claude-sonnet-4-20250514,v1_detailed,conforming,Date range,Mar 15 2026-Mar 20 2026,Mar 15 2026-Mar 20 2026,Mar 15 2026-Mar 20 2026,True,1504.083871841431,,True
2026-01-29T17:31:29.552467,claude-sonnet-4-20250514,v1_detailed,conforming,Date with time,Feb 2 2026 after 2pm,Feb 2 2026 after 2:00 pm,Feb 2 2026 after 2:00 pm,True,1897.8095054626465,,True
2026-01-29T17:31:31.471095,claude-sonnet-4-20250514,v1_detailed,natural,Casual unavailability,I can't make it Mondays,Monday,Monday,True,1403.5170078277588,,True
2026-01-29T17:31:33.694705,claude-sonnet-4-20250514,v1_detailed,natural,Missing PM,unavailable tuesdays after 5,Tuesday after 5:00 pm,Tuesday after 5:00 pm,True,1708.5587978363037,,True
