dancer_id,conflicts
d_001,"Out December 17, 20-27, Sun Dec 28 is good, no Dec 30 or 31 (working)"
d_002,Christmas np
d_003,All dates good but out Tues 12/23
d_004,
d_005,Christmas cruise 12/20-12/27
d_006,"Christmas cruise 12/20-12/27 Also, I work on Sunday, Monday and Tuesday until 2:30 PM."
d_007,"T after 12:15, "
d_008,"T after 12:15, Sundays after after 2:30, "
d_009," Dec 30 good, Dec 31 no good"
d_010,"Please no Sundays, No Tues 12/30"
d_011,"if possible if scheduling me on Sundays please have  schedule after 1:00, "
d_012,
d_013,"Wed after 2:00, Out  12/31"
d_014,Out Sun 12/21 -Fri 12/26
d_015,"T after 12:15,Wednesdays after 2:15.   All dates good but out Tues 12/23, "
d_016,
d_017,
d_018,Tues 12/23 before 2
d_019,
d_020,
d_021,
d_022,4th Tuesday of the month available after noon
d_023,"Dances all together is ideal, holidays are all good"
d_024,
d_025, T after 12:15
d_026,
d_027,
d_028, Holidays are all good Tues 12/23 not before 1:30
d_029,"12/21- Available
12/23 & 12/24- Not available (Michigan)
12/28, 12/30 & 12/31- Available"
d_030,
d_031,
d_032,
d_033,Wed not after 4 pm
d_034," 0ut Dec. 17, 23, 24"
d_035,Dates we gave for holidays are good.  
d_036,"Tuesdays - I am good from 1:00-4:00pm.   I could get to CC by 12:30 by pushing it a bit,
Wednesdays - I would appreciate if I could be scheduled for anything AFTER MaryAnn's Tap & Jazz. "
d_037,None at this time
d_038,
d_039,
d_040,
