dance,d_004,d_001,d_007,d_017,d_018,d_022,d_030,d_002,d_003,d_005,d_006,d_008,d_009,d_010,d_011,d_012,d_013,d_014,d_015,d_016,d_019,d_020,d_021,d_023,d_024,d_025,d_026,d_027,d_028,d_029,d_031,d_032,d_033,d_034,d_035,d_036,d_037,d_038,d_039,d_040
dn_01,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dn_02,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,
dn_03,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1,,1.0,,,,,,,1.0,,,
dn_04,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,
dn_05,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0
dn_06,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,
dn_07,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,
dn_08,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,
dn_09,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,
dn_10,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
dn_11,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,
dn_12,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,
dn_13,,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,
dn_14,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,
dn_15,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,
dn_16,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
dn_17,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,
dn_18,,,,,,,,,1.0,,1,,,,,,,,,,,,,,,,,1,1.0,1.0,,,,,,,,,,
dn_19,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1,,1.0,,,1.0,,,1.0,,,,
dn_20,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,
dn_21,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,
dn_22,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
dn_23,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,
dn_24,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dn_25,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0
dn_26,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,
